additional_search_metadata,categories,glyph_order,NEW_PUAs,Non_modifiable,protected_symbol_notes,RTL_extension,semantic_name_1,semantic_name_2,semantic_name_3,short_name,character,unicodes
,,210,100B12,FALSE,,,,,,books.vertical,􀬒,XXXXX
weather,weather,211,1001D5,FALSE,,,partly.cloudy.fill,,,cloud.sun.fill,􀇕,XXXXX
,,211,100B13,FALSE,,,,,,books.vertical.fill,􀬓,XXXXX
weather,weather,212,1001D6,FALSE,,,scattered.showers,,,cloud.sun.rain,􀇖,XXXXX
,objects & tools,212,10091E,FALSE,,,,,,book.closed,􀤞,XXXXX
weather,weather,213,1001D7,FALSE,,,scattered.showers.fill,,,cloud.sun.rain.fill,􀇗,XXXXX
,objects & tools,213,10091F,FALSE,,,,,,book.closed.fill,􀤟,XXXXX
weather,weather,214,1001D8,FALSE,,,scattered.thunderstorm,,,cloud.sun.bolt,􀇘,XXXXX
weather,weather,215,1001D9,FALSE,,,scattered.thunderstorm.fill,,,cloud.sun.bolt.fill,􀇙,XXXXX
weather,weather,216,1001DA,FALSE,,,partly.cloudy.night,,,cloud.moon,􀇚,XXXXX
dictionary,,216,100AD5,FALSE,,,,,,a.book.closed,􀫕,XXXXX
weather,weather,217,1001DB,FALSE,,,partly.cloudy.night.fill,,,cloud.moon.fill,􀇛,XXXXX
dictionary,,217,100AD6,FALSE,,,,,,a.book.closed.fill,􀫖,XXXXX
weather,weather,218,1001DC,FALSE,,,rainy.night,,,cloud.moon.rain,􀇜,XXXXX
weather,weather,219,1001DD,FALSE,,,rainy.night.fill,,,cloud.moon.rain.fill,􀇝,XXXXX
weather,weather,220,1001DE,FALSE,,,mix.rainfall,,,cloud.bolt.rain,􀇞,XXXXX
weather,weather,221,1001DF,FALSE,,,mix.rainfall.fill,,,cloud.bolt.rain.fill,􀇟,XXXXX
weather,weather,222,1.001E+03,FALSE,,,scattered.thunderstorm.night,,,cloud.moon.bolt,􀇠,XXXXX
,,222,100AD7,FALSE,,,,,,text.book.closed,􀫗,XXXXX
